2022-07-13 18:14:57,416 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:15:07,989 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:15:18,559 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:15:33,286 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:15:43,991 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:15:55,168 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:16:09,857 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:16:20,571 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:16:31,609 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:16:46,651 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:16:57,205 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:17:08,105 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:17:23,297 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:17:33,995 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:17:45,181 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:17:59,889 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:18:10,779 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:18:21,437 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:18:36,391 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:18:47,331 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:18:58,102 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:19:13,131 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:19:23,802 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:19:34,406 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:19:49,197 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:20:00,219 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:20:11,645 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:20:27,430 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:20:37,976 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:20:48,744 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:21:03,290 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:21:13,924 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:21:24,690 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:21:39,230 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:21:49,911 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:22:00,460 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:22:15,215 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:22:25,174 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:22:34,790 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:22:47,726 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:22:57,059 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:23:06,552 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:23:19,514 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:23:28,835 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:23:38,250 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:23:51,101 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:24:00,496 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:24:10,019 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:24:23,401 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:24:32,852 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:24:42,371 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:24:55,351 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:25:04,826 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:25:14,404 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:25:27,390 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:25:36,946 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:25:46,533 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:25:59,599 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:26:09,142 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:26:18,891 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:26:31,967 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
2022-07-13 18:26:41,499 INFO    MainThread:8294 [wandb_watch.py:watch():47] Watching
