2022-07-02 10:28:32,906 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:28:34,168 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:28:39,148 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:28:40,383 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:28:41,756 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:28:46,724 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:28:48,047 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:28:49,290 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:28:54,252 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:28:55,513 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:28:56,886 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:29:01,971 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:29:03,269 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:29:04,613 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:29:09,607 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:29:10,938 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:29:12,175 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:29:17,157 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:29:18,389 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:29:19,622 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:29:24,644 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:29:25,977 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:29:27,206 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:29:32,222 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:29:33,473 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:29:34,719 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:29:39,709 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:29:41,041 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:29:42,342 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:29:47,232 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:29:48,544 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:29:49,780 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:29:55,091 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:29:56,517 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:29:57,902 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:30:03,245 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:30:04,575 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
2022-07-02 10:30:05,847 INFO    MainThread:40699 [wandb_watch.py:watch():47] Watching
